registration_number,material_name,material_category,manufacturer_name,product_category,geographical_scope,country_of_origin,gwp_a1a3,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,epd_url
EPD-IES-0014568:003,TMT Bars,Steel & Metal,Peekay Steels,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd14568
EPD-IES-0025464:001,OMNI Linear Modular Suspended system,Furniture & Fittings,Focus Lighting And Fixtures Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25464
EPD-IES-0024111:002,AL59 910,Other,STERLITE POWER TRANSMISSION LTD,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24111
EPD-IES-0024800:001,GYPROC® Habito Standard™ 13 mm,Other,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24800
EPD-IES-0025538:001,LT Cable - 3.5 Core X 400 Sqmm,Other,GEMSCAB INDUSTRIES LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25538
EPD-IES-0025539:001,HT Cable - 3 Core X 400 Sqmm,Other,GEMSCAB INDUSTRIES LIMITED,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd25539
EPD-IES-0024571:004,Fire Resistant Glass (FRG),Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24571
EPD-IES-0024574:003,AIS Clear Float Glass,Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24574
EPD-IES-0024582:003,AIS Tinted Glass,Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24582
EPD-IES-0024584:003,AIS Laminated Glass,Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24584
EPD-IES-0024583:003,AIS Heat Treated Glass,Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24583
EPD-IES-0024586:003,AIS Insulated Glass Unit,Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24586
EPD-IES-0024589:003,AIS Offline Coated Glass,Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24589
EPD-IES-0024590:003,AIS Online Coated Glass,Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24590
EPD-IES-0024591:003,AIS Ceramic Frit Glass,Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24591
EPD-IES-0024593:003,AIS Frosted Glass,Glass & Glazing,Asahi Glass India Ltd. (AIS),Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24593
EPD-IES-0017772:002,Height Adjustable Table,Furniture & Fittings,Featherlite Furniture,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17772
EPD-IES-0022574:002,Magnetron coated glass on ORAE® 6 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22574
EPD-IES-0021776:002,ORAÉ® 8 mm,Other,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21776
EPD-IES-0023942:002,Magnetron coated glass on ORAE® 8 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23942
EPD-IES-0024225:003,Game Changer 100% Recycled BCF Yarn,Other,AYM Syntex Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24225
EPD-IES-0024614:004,Recycled Nylon BCF Yarn,Other,AYM Syntex Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24614
EPD-IES-0024799:004,GYPROC® Rigiroc™ 13 mm,Other,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24799
EPD-IES-0022639:002,Dry Fly ash,Concrete & Cement,JSW Energy Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22639
EPD-IES-0023972:002,Ready Mix Concrete (M75 & M80),Concrete & Cement,ACC Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23972
EPD-IES-0012014:003,SAWH Coated Steel Pipe,Steel & Metal,Jindal SAW Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd12014
EPD-IES-0012015:003,CRA Welded Pipe,Steel & Metal,Jindal SAW Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd12015
EPD-IES-0022358:001,Windor Movewall - Sliding Folding partition,Glass & Glazing,Windor India Pvt Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22358
EPD-IES-0022359:001,Windor Phone booth,Other,Windor India Pvt Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22359
EPD-IES-0024476:001,High Security Safes,Other,Godrej & Boyce Manufacturing Company Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24476
EPD-IES-0024671:002,Knauf India Thundersteel Metal Profiles,Steel & Metal,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24671
EPD-IES-0024700:001,Continuous Cast Copper Rod,Other,Vedanta Limited - Sterlite Copper,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24700
EPD-IES-0023969:001,"Ready Mix Concrete (M10, M15, M20 & M25)",Concrete & Cement,ACC Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23969
EPD-IES-0023970:001,"Ready Mix Concrete (M30, M35, M40 & M45)",Concrete & Cement,ACC Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23970
EPD-IES-0023971:001,"Ready Mix Concrete (M50, M55, M60 & M70)",Concrete & Cement,ACC Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23971
EPD-IES-0023773:002,TOPCon Bifacial Solar Module,Concrete & Cement,ReNew Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23773
EPD-IES-0023952:003,Cold Rolled Closed Annealed,Other,Jamshedpur Continuous Annealing and Processing Company Pvt. Ltd.,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23952
EPD-IES-0022357:001,Windor Primewall - 100MM Modular Solid Partition,Glass & Glazing,Windor India Pvt Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22357
EPD-IES-0024634:002,Knauf India EASYJOINT,Other,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24634
EPD-IES-0024622:003,Knauf India ST55 Metal Profiles,Steel & Metal,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24622
EPD-IES-0024628:001,Acoustic Panel,Timber & Wood,United Acoustic Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24628
EPD-IES-0024647:002,Knauf India EASYPLUS,Other,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24647
EPD-IES-0024619:002,Knauf India DRYSTAR Plasterboard,Concrete & Cement,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24619
EPD-IES-0024624:002,Knauf India Plasterboards (Multiple Products) SSM,Concrete & Cement,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24624
EPD-IES-0024699:001,TMT Bars,Steel & Metal,Prakash Ferrous Industries Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24699
EPD-IES-0024267:005,Knauf India Sheetrock Plasterboard,Concrete & Cement,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24267
EPD-IES-0024515:005,Knauf India Sheetrock Plasterboard,Concrete & Cement,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24515
EPD-IES-0024516:005,Knauf India Plasterboards (Multiple Products),Concrete & Cement,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24516
EPD-IES-0024570:004,Knauf India ST50 Metal Profiles,Steel & Metal,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24570
EPD-IES-0024585:002,Knauf India Plasterboards (Multiple Products) - KKR,Concrete & Cement,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24585
EPD-IES-0024605:002,Knauf India Plasterboard (Multiple Products),Concrete & Cement,Knauf India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24605
EPD-IES-0024226:003,Game Changer 100% Recycled BCF Intermingled Yarn,Other,AYM Syntex Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24226
EPD-IES-0022636:002,SGG PLANILUX ® 4mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22636
EPD-IES-0021267:002,Average Cold rolled closed annealed coil,Steel & Metal,Tata Steel Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21267
EPD-IES-0021268:002,Average Galvanized Steel,Steel & Metal,Tata Steel Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21268
EPD-IES-0023983:001,SGG PARSOL® 5 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23983
EPD-IES-0023989:001,SGG PARSOL® 8 mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd23989
EPD-IES-0024227:003,Game Changer 100% Recycled BCF Cabled Heat Set Yarn,Other,AYM Syntex Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd24227
EPD-IES-0022638:002,Mild Steel Pipe / Hollow section,Steel & Metal,Nalwa Special Steel Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22638
EPD-IES-0022440:002,"FR A2, FR B & Non-FR Aluminium Composite Panel",Aluminium,Viva Composite Panels Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22440
EPD-IES-0022524:001,Portland Pozzolana Cement (PPC),Concrete & Cement,Ambuja Cements Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22524
EPD-IES-0022481:004,Penetron Admix,Chemical Products,Penetron Products Pvt. Ltd.,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22481
EPD-IES-0022625:002,Penetron,Chemical Products,Penetron Products Pvt. Ltd.,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22625
EPD-IES-0022523:001,Portland Pozzolana Cement (PPC),Concrete & Cement,ACC Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd22523
EPD-IES-0020036:003,200 KVA 20.5/ 0.41 kV Transformer,Machinery & Equipment,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20036
EPD-IES-0020985:001,Flexi Raised Access Floors,Other,AET Building Products India Pvt. Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20985
EPD-IES-0021819:002,MTB Wire,Steel & Metal,Tata Steel Limited,"Metal, mineral, plastic & glass products",Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21819
EPD-IES-0020031:002,30 KVA 20.5/ 0.41 kV Transformer,Machinery & Equipment,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20031
EPD-IES-0020032:002,50 KVA 1/ 0.41 kV Transformer,Machinery & Equipment,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20032
EPD-IES-0020033:002,50 KVA 20.5/ 0.41 kV Transformer,Machinery & Equipment,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20033
EPD-IES-0020034:002,100 KVA 20.5/ 0.41 kV Transformer,Machinery & Equipment,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20034
EPD-IES-0020035:002,200 KVA 1/ 0.41 kV Transformer,Machinery & Equipment,Shirdi Sai Electricals Ltd.,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20035
EPD-IES-0021476:001,ERW Steel Pipes/ERW Galvanized Steel Pipes,Steel & Metal,Shri Bajrang Power and Ispat Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21476
EPD-IES-0007405:001,Ground Granulated Blast Furnace Slag (GGBS),Concrete & Cement,JSW Cement Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd7405
EPD-IES-0007759:001,Ground Granulated Blast Furnace Slag (GGBS) /Microfine GGBS,Concrete & Cement,JSW Cement Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd7759
EPD-IES-0021266:001,Average Steel Slab,Steel & Metal,Tata Steel Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21266
EPD-IES-0017633:003,Rockinsul RB Slab 60 kg/m3,Other,Saint-Gobain India Private Limited,Construction products,Asia,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17633
EPD-IES-0021337:001,Average High Pressure Laminate (HPL) -Compact panels,Other,Century Panels Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd21337
EPD-IES-0018119:001,Deep Groove Ball Bearing: 6010,Machinery & Equipment,National Engineering Industries Limited,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18119
EPD-IES-0018154:001,Double Row Angular Contact Bearing: AU0754-2LXL,Machinery & Equipment,National Engineering Industries Limited,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18154
EPD-IES-0018184:001,Cylindrical Roller Bearing: TS2NU2236,Machinery & Equipment,National Engineering Industries Limited,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18184
EPD-IES-0017974:001,TAPERED ROLLER BEARING: 33022,Machinery & Equipment,National Engineering Industries Limited,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17974
EPD-IES-0018138:001,Unitized Taper Roller Bearing: N1764XAT2XLLX,Machinery & Equipment,National Engineering Industries Limited,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18138
EPD-IES-0018239:001,Cartridge Tapered Roller Bearing: 6X11 Class E,Machinery & Equipment,National Engineering Industries Limited,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18239
EPD-IES-0018019:001,Cylindrical Roller Bearing: NUP310N,Machinery & Equipment,National Engineering Industries Limited,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18019
EPD-IES-0005241:002,Grinding Media (Steel Balls),Steel & Metal,JSW Steel Limited,"Metal, mineral, plastic & glass products",Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd5241
EPD-IES-0004977:002,Hot Dip Galvanized Pole and High Mast,Other,Skipper Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd4977
EPD-IES-0004995:002,Hot Dip Galvanized Steel Tower,Steel & Metal,Skipper Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd4995
EPD-IES-0016396:001,Keraflex Easy S1 Zero grey,Other,Mapei Construction Products India Ltd,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16396
EPD-IES-0016397:002,Keraflex Easy S1 Zero White,Other,Mapei Construction Products India Ltd,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16397
EPD-IES-0012055:005,Indowud NFC Board,Other,Indowud NFC Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd12055
EPD-IES-0020175:001,"GDPA FASTENERS: Screws, Nuts & Accessories",Other,GDPA Fasteners,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20175
EPD-IES-0017973:001,TAPERED ROLLER BEARING :32309XA,Machinery & Equipment,National Engineering Industries Limited,Machinery & equipment,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17973
EPD-IES-0020327:001,Sleek Partition,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20327
EPD-IES-0020329:001,Influence Partition,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20329
EPD-IES-0020172:001,SomaniPly Plywood,Timber & Wood,Ecowood Exports Pvt Ltd,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd20172
EPD-IES-0005242:002,Smart PIR Panel,Other,Asawa Insulation Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd5242
EPD-IES-0019902:002,MIRA 5mm,Other,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd19902
EPD-IES-0019900:002,PLANILAQUE ON PLANILUX 6mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd19900
EPD-IES-0019899:002,PLANILAQUE ON PLANILUX 5mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd19899
EPD-IES-0019897:002,PLANILAQUE ON PLANILUX 4mm,Glass & Glazing,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd19897
EPD-IES-0010024:002,Smart Ducting System,Other,Asawa Insulation Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd10024
EPD-IES-0018412:001,One ton of DN600 Ductile Iron Pipe,Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18412
EPD-IES-0016558:001,Hot Rolled Coils,Steel & Metal,Jindal Steel Odisha Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16558
EPD-IES-0018411:001,Ductile Iron Pipe (DN1200),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18411
EPD-IES-0018410:001,Ductile Iron Pipe (DN1100),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18410
EPD-IES-0018409:001,Ductile Iron Pipe (DN1000),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18409
EPD-IES-0018408:001,Ductile Iron Pipe (DN900),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18408
EPD-IES-0018407:001,Ductile Iron Pipe (DN800),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18407
EPD-IES-0018406:001,Ductile Iron Pipe (DN750),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18406
EPD-IES-0018405:001,Ductile Iron Pipe (DN700),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18405
EPD-IES-0018404:001,Ductile Iron Pipe (DN600),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18404
EPD-IES-0018403:001,Ductile Iron Pipe (DN500),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18403
EPD-IES-0018402:001,Ductile Iron Pipe (DN450),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18402
EPD-IES-0018401:001,Ductile Iron Pipe (DN400),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18401
EPD-IES-0018400:001,Ductile Iron Pipe (DN350),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18400
EPD-IES-0018399:001,Ductile Iron Pipe (DN300),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18399
EPD-IES-0018398:001,Ductile Iron Pipe (DN250),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18398
EPD-IES-0018397:001,Ductile Iron Pipe (DN200),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18397
EPD-IES-0018396:001,Ductile Iron Pipe (DN150),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18396
EPD-IES-0018395:001,Ductile Iron Pipe (DN125),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd18395
EPD-IES-0008990:001,Ductile Iron Pipe (DN100),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd8990
EPD-IES-0009004:001,Ductile Iron Pipe (DN 80),Steel & Metal,Jindal SAW Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd9004
EPD-IES-0017243:001,HILUX Calcium Silicate Board (CSB),Other,Ramco Industries Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17243
EPD-IES-0017246:001,Greencor- Non-Asbestos Corrugated Sheet,Other,Ramco Industries Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17246
EPD-IES-0017242:001,HICEM Fiber Cement Board,Concrete & Cement,Ramco Industries Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17242
EPD-IES-0017245:001,HiluxLite- Ultra Light Ceiling Tile,Ceramic & Tile,Ramco Industries Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17245
EPD-IES-0017244:001,Hiden- High Density Fiber Cement Board,Concrete & Cement,Ramco Industries Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17244
EPD-IES-0016931:002,Bi-55- (520-550 Wp) Glass to Glass Bifacial Module,Glass & Glazing,Waaree Energies Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16931
EPD-IES-0016932:002,BiN-08-(565-600 Wp) Glass to Glass Bifacial TOPCon Module,Concrete & Cement,Waaree Energies Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16932
EPD-IES-0008168:005,TMT Rebar (100% Recycled Scrap),Steel & Metal,Jindal Steel and Power,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd8168
EPD-IES-0015506:005,Steel Plate (100% Recycled Scrap),Steel & Metal,Jindal Steel and Power,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd15506
EPD-IES-0015661:001,U-Flex Structural Ceiling & Partition Systems,Glass & Glazing,United Office Systems Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd15661
EPD-IES-0016083:002,"Ductile & Grey Iron Manhole Cover, Grate & Frame",Steel & Metal,R. B. Agarwalla and Co.,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16083
EPD-IES-0006068:001,Ferro Chrome,Other,Tata Steel Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd6068
EPD-IES-0017630:001,Rockinsul RB Slab 48 kg/m3,Other,Saint-Gobain India Private Limited,Construction products,India,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17630
EPD-IES-0017631:001,Rockinsul RB Slab 160 kg/m3,Other,Saint-Gobain India Private Limited,Construction products,Asia,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd17631
EPD-IES-0016507:003,"Ductile & Grey Iron Manhole Cover, Channel Gratings and Pipe Fittings",Steel & Metal,Global Castings Pvt. Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16507
EPD-IES-0015660:001,Steel Cementitious Panel,Concrete & Cement,United Office Systems Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd15660
EPD-IES-0015662:001,Calcium Sulphate Panel,Other,United Office Systems Private Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd15662
EPD-IES-0016478:001,Steel Plates,Steel & Metal,Jindal Steel and Power,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16478
EPD-IES-0016401:002,HIGH PRESSURE LAMINATE,Other,Merino Industries Limited,Construction products,Global,India,,kg CO2 eq,,,International EPD System,,,https://www.environdec.com/library/epd16401
